status,title,url,sponsors,controlling_body,contact,version,key,final_date,intro_date,type
PLACED ON FILE,"Transmitting a bill amending Section 2 of an Ordinance (Bill No. 020252) approved May 29, 2002, entitled ""An Ordinance Authorizing the revision of lines and grades on a portion of City Plan No. 13-S by striking from the City Plan and vacating Lawrence Street from Wharton Street to Titan Street and Leithgow Street from Wharton Street to Titan Street; by revising the lines and grades of Reese Street from Reed Street to Wharton Street and Titan Street from Fifth Street to Fourth Street; by placing on the City Plan Earp Street from Fifth Street to relocated Leithgow Street; by striking from the City Plan and vacating certain portions of Earp Street from Fourth Street to Fifth Street; by revising the lines and grades of Lawrence and Leithgow Streets from Reed Street to former Earp Street, all under certain terms and conditions, including the dedication free and clear of all encumbrances the beds of the proposed Earp Street not previously dedicated and the unopened portions of Reese Street, Lawrence Street and Leithgow Street,"" by revising the terms and conditions stated therein and extending the period for compliance therewith, accompanied by an explanatory letter from the Streets Commissioner.",http://legislation.phila.gov/detailreport/?key=10918,,CITY COUNCIL,,0,10918,,12/9/2010,COMMUNICATION
IN COUNCIL - SECOND READING,"Amending Section 2 of an Ordinance (Bill No. 040505) approved June 21, 2004, entitled ""An Ordinance authorizing the striking from City Plan Nos. 270 and 258 of Sanger Street from Tacony Street to the westerly Pierhead Line of the Delaware River, under certain terms and conditions,"" by extending the period for compliance with the terms and conditions stated therein.",http://legislation.phila.gov/detailreport/?key=10919,Councilmember Krajewski,Committee on Streets and Services,,0,10919,,12/16/2010,Bill
IN COUNCIL - SECOND READING,"Amending Section 2 of an Ordinance (Bill No. 080641) approved November 19, 2008, entitled ""An Ordinance authorizing the revision of lines and grades on a portion of City Plan No. 128 by striking from the City Plan and vacating Eighteenth Street from Cambria Street to Indiana Avenue and reserving and placing on the City Plan a right-of-way for drainage purposes and water main purposes within the lines of Eighteenth Street being stricken, under certain terms and conditions,"" by extending the period for compliance with the terms and conditions stated therein.",http://legislation.phila.gov/detailreport/?key=10920,Councilmember Miller,Committee on Streets and Services,,0,10920,,12/16/2010,Bill
IN COMMITTEE,"To amend the Philadelphia Zoning Maps by changing the zoning designations of certain areas of land located within an area bounded by Second Street, Rising Sun Avenue, Cayuga Street, Front Street, and Hunting Park Avenue.",http://legislation.phila.gov/detailreport/?key=10921,Councilmember Sanchez,Committee on Rules,,0,10921,,12/16/2010,Bill
IN COMMITTEE,"Authorizing the revision of lines and grades on a portion of City Plan No. 157 by striking from the City Plan and vacating the legally open portions of American Street from Sedgley Avenue southeastwardly to its terminus and reserving and placing on the City Plan a right-of-way for sewer and drainage purposes within the lines of American Street being stricken and authorizing acceptance of the grant to the City of the said right-of-way, under certain terms and conditions.",http://legislation.phila.gov/detailreport/?key=10922,Councilmember Sanchez,Committee on Streets and Services,,0,10922,,12/16/2010,Bill
IN COMMITTEE,"Amending Chapter 21-1200 of The Philadelphia Code, entitled ""Police Advisory Board,"" by providing additional requirements for issuing annual reports and responding to complaints, under certain terms and conditions.",http://legislation.phila.gov/detailreport/?key=10923,"Councilmember Jones, Councilmember Miller, Councilmember Clarke",Committee on Public Safety,,0,10923,,12/16/2010,Bill
IN COMMITTEE,"Authorizing the City Solicitor, on behalf of the City of Philadelphia, to include certain provisions, including the transfer of real estate, in a settlement agreement with the Cradle of Liberty Council, Inc., Boy Scouts of America (""Boy Scouts"") to resolve litigation relating to 231-251 N. 22nd Street, Philadelphia, all under certain terms and conditions.",http://legislation.phila.gov/detailreport/?key=10924,Councilmember Clarke,Committee on Public Property and Public Works,,0,10924,,12/16/2010,Bill
ADOPTED,"Recognizing Vivian T. Miller for a Career of Service to the Citizens of Philadelphia in her Roles as Community Organizer, Ward Leader and Philadelphia Clerk of Quarter Sessions.",http://legislation.phila.gov/detailreport/?key=10925,"Councilmember Blackwell, Councilmember Goode, Councilmember DiCicco, Councilmember Green, Councilmember Miller, Councilmember Tasco, Councilmember Greenlee, Councilmember Jones, Councilmember Rizzo, Council President Verna, Councilmember Clarke, Councilmember Sanchez, Councilmember O'Neill, Councilmember Krajewski, Councilmember Reynolds Brown",CITY COUNCIL,,0,10925,1/27/2011,12/16/2010,Resolution
ADOPTED,"Approving the redevelopment contract and disposition supplement of the Redevelopment Authority of the City of Philadelphia for the redevelopment and urban renewal of a portion of the Point Breeze Urban Renewal Area, designated as Parcel Nos. 103 and 104 and also sometimes identified by house addresses and street addresses for Parcel No. 103 as 1626-1636 Federal street and for Parcel No. 104 as 1218-1228 South Seventeenth street;  authorizing the Redevelopment Authority to execute the redevelopment contract with Community Ventures and to take such action as may be necessary to effectuate the redevelopment contract and disposition supplement.",http://legislation.phila.gov/detailreport/?key=10926,"Council President Verna, Councilmember Tasco",CITY COUNCIL,,0,10926,1/27/2011,12/16/2010,Resolution
ADOPTED,"Authorizing the Commissioner of Public Property to execute and deliver to the Redevelopment Authority of the City of Philadelphia, without consideration, deeds conveying conditional fee simple title to certain City-owned lots or pieces of ground with the buildings and improvements thereon, situate in the Seventeenth Ward of the City of Philadelphia, pursuant to Chapter 16-400 of The Philadelphia Code and authorizing the Redevelopment Authority of the City of Philadelphia to dispose of such properties for rehabilitation and/or improvement in accordance with the terms of Chapter 16-400 of The Philadelphia Code.",http://legislation.phila.gov/detailreport/?key=10927,Councilmember Miller,CITY COUNCIL,,0,10927,1/27/2011,12/16/2010,Resolution
IN COMMITTEE,"Authorizing Council's committee on Housing, Neighborhood Development, and Homelessness to hold hearings on the consequences of mass foreclosure in the Kensington and Port Richmond neighborhoods of rental properties owned by Landvest, LLP and related companies associated with Robert N. Coyle, Sr.",http://legislation.phila.gov/detailreport/?key=10928,"Councilmember Sanchez, Councilmember DiCicco","Committee on Housing, Neighborhood Development and The Homeless",,0,10928,,12/16/2010,Resolution
ADOPTED,"Authorizing the Commissioner of Public Property to execute and deliver to the Redevelopment Authority of the City of Philadelphia, without consideration, deeds conveying conditional fee simple title to certain City-owned lots or pieces of ground with the buildings and improvements thereon, situate in the Seventh, Nineteenth and Thirty-seventh Wards of the City of Philadelphia, pursuant to Chapter 16-400 of The Philadelphia Code and authorizing the Redevelopment Authority of the City of Philadelphia to dispose of such properties for rehabilitation and/or improvement in accordance with the terms of Chapter 16-400 of The Philadelphia Code.",http://legislation.phila.gov/detailreport/?key=10929,Councilmember Sanchez,CITY COUNCIL,,0,10929,1/27/2011,12/16/2010,Resolution
IN COUNCIL,,http://legislation.phila.gov/detailreport/?key=10930,,CITY COUNCIL,,0,10930,,12/16/2010,COMMUNICATION
IN COUNCIL,,http://legislation.phila.gov/detailreport/?key=10931,,CITY COUNCIL,,0,10931,,12/16/2010,COMMUNICATION
IN COUNCIL,,http://legislation.phila.gov/detailreport/?key=10932,,CITY COUNCIL,,0,10932,,12/16/2010,COMMUNICATION
IN COUNCIL,,http://legislation.phila.gov/detailreport/?key=10933,,CITY COUNCIL,,0,10933,,12/16/2010,COMMUNICATION
IN COUNCIL,,http://legislation.phila.gov/detailreport/?key=10934,,CITY COUNCIL,,0,10934,,12/16/2010,COMMUNICATION
IN COUNCIL,,http://legislation.phila.gov/detailreport/?key=10935,,CITY COUNCIL,,0,10935,,12/16/2010,COMMUNICATION
IN COUNCIL,,http://legislation.phila.gov/detailreport/?key=10936,,CITY COUNCIL,,0,10936,,12/16/2010,COMMUNICATION
IN COMMITTEE,"Amending Bill No. 100307, entitled ""An Ordinance approving the Fiscal Year 2011 Capital Budget providing for expenditures for the capital purposes of the Philadelphia Gas Works (including the supplying of funds in connection therewith) subject to certain constraints and conditions, and acknowledging receipt of the Forecast of Capital Budgets for Fiscal Years 2012 through 2016,"" by approving a Revised Capital Budget for Fiscal Year 2011.",http://legislation.phila.gov/detailreport/?key=10938,Councilmember Tasco,Committee on Finance,,0,10938,,1/27/2011,Bill
IN COMMITTEE,"Amending Chapter 15-100 of The Philadelphia Code, entitled ""Parks,"" by prohibiting the transfer or conversion of outdoor public park and recreation land in the City to other uses or to third parties unless certain procedures and requirements are met.",http://legislation.phila.gov/detailreport/?key=10939,"Councilmember Reynolds Brown, Councilmember O'Neill","Committee on Parks, Recreation and Cultural Affairs",,0,10939,,1/27/2011,Bill
IN COMMITTEE,"Amending Section 22-310 of The Philadelphia Code, entitled ""Deferred Retirement Option Plan (DROP),"" by permitting employees who enroll in DROP to withdraw from DROP if they have not yet separated from active service with the City, under certain terms and conditions.",http://legislation.phila.gov/detailreport/?key=10940,"Councilmember DiCicco, Councilmember Kenney, Councilmember Rizzo",Committee of the Whole,,0,10940,,1/27/2011,Bill
IN COUNCIL - SECOND READING,"Authorizing John and Concetta Varallo, owners of Pesto Italian Restaurant, 1917 South Broad Street, to construct, own and maintain an encroachment within the right-of-way located on the east footway of Broad Street, under certain terms and conditions.",http://legislation.phila.gov/detailreport/?key=10941,Councilmember DiCicco,Committee on Streets and Services,,0,10941,,1/27/2011,Bill
IN COMMITTEE,"Amending Bill No. 100656, passed by Council on December 16, 2010, to include the executed Neighborhood Development Agreement.",http://legislation.phila.gov/detailreport/?key=10942,Councilmember Clarke,Committee on Rules,,0,10942,,1/27/2011,Bill
IN COMMITTEE,"Amending Section 14-305 of The Philadelphia Code, entitled ""'C-4' Commercial District,"" specifically Section 14-305(16)(c) regarding parking for the area bounded by Hamilton Street, 19th Street, Callowhill Street and 20th Street;  all under certain terms and conditions.",http://legislation.phila.gov/detailreport/?key=10943,Councilmember Clarke,Committee on Rules,,0,10943,,1/27/2011,Bill
ADOPTED,Honoring and Congratulating Scott M. Wilds.,http://legislation.phila.gov/detailreport/?key=10944,"Councilmember Blackwell, Councilmember Jones, Councilmember Goode, Councilmember Rizzo, Councilmember Clarke, Councilmember DiCicco, Councilmember Greenlee, Councilmember Kenney, Councilmember Miller, Councilmember Sanchez, Councilmember O'Neill, Council President Verna, Councilmember Green",CITY COUNCIL,,0,10944,2/3/2011,1/27/2011,Resolution
IN COMMITTEE,Calling on the Philadelphia City Council Committee on Education to Hold Hearings in Partnership with the State Board of Education and the Department of Education on the Lack of Library Facilities and Certified Librarians in Public Schools and to Hold a Public Roundtable Discussion of the State Study Investigating the Number and Quality of Public School Libraries.,http://legislation.phila.gov/detailreport/?key=10945,"Councilmember Blackwell, Councilmember Sanchez, Councilmember Jones, Councilmember Goode, Councilmember Rizzo, Councilmember Clarke, Councilmember DiCicco, Councilmember Greenlee, Councilmember Kenney, Councilmember Miller, Councilmember O'Neill, Council President Verna, Councilmember Green",Committee on Education,,0,10945,,1/27/2011,Resolution
ADOPTED,"Authorizing the Commissioner of Public Property to execute and deliver to the Redevelopment Authority of the City of Philadelphia, without consideration, deeds conveying conditional fee simple title to certain City-owned lots or pieces of ground with the buildings and improvements thereon, situate in the Forty-fourth Ward of the City of Philadelphia, pursuant to Chapter 16-400 of The Philadelphia Code and authorizing the Redevelopment Authority of the City of Philadelphia to dispose of such properties for rehabilitation and/or improvement in accordance with the terms of Chapter 16-400 of The Philadelphia Code.",http://legislation.phila.gov/detailreport/?key=10946,Councilmember Blackwell,CITY COUNCIL,,0,10946,2/3/2011,1/27/2011,Resolution
ADOPTED,"Designating the month of February as ""Teen Dating Violence Awareness Month in Philadelphia.""",http://legislation.phila.gov/detailreport/?key=10947,"Councilmember Greenlee, Councilmember Tasco, Councilmember Reynolds Brown, Councilmember Clarke, Councilmember DiCicco, Councilmember Kenney, Councilmember Rizzo, Councilmember Blackwell, Councilmember Goode, Councilmember Miller, Councilmember Jones, Councilmember Sanchez, Councilmember O'Neill",CITY COUNCIL,,0,10947,2/3/2011,1/27/2011,Resolution
ADOPTED,"Requesting that the Mayor return to Council Bill No. 100750, entitled ""An Ordinance to amend the Institutional Development District Master Plan of Holy Family University, located at 4500 Grant Avenue, by allowing for the construction of a new administrative building,"" for the purpose of reconsideration by the Council of the vote by which said bill passed Council.",http://legislation.phila.gov/detailreport/?key=10948,"Councilmember Tasco, Councilmember Krajewski",CITY COUNCIL,,0,10948,1/27/2011,1/27/2011,Resolution
ADOPTED,"Approving the redevelopment contract and disposition supplement of the Redevelopment Authority of the City of Philadelphia for the redevelopment and urban renewal of a portion of the Point Breeze Urban Renewal Area, designated as Parcel No. 61 and also sometimes identified by house address and street address as 1533 Federal street; authorizing the Redevelopment Authority to execute the redevelopment contract with Henry M. Clinton and to take such action as may be necessary to effectuate the redevelopment contract and disposition supplement.",http://legislation.phila.gov/detailreport/?key=10949,"Councilmember Tasco, Council President Verna",CITY COUNCIL,,0,10949,2/3/2011,1/27/2011,Resolution
ADOPTED,Recognizing and acknowledging Delta Sigma Theta Sorority on the occasion of its Fourth Annual Philadelphia City Council Delta Day.,http://legislation.phila.gov/detailreport/?key=10950,"Councilmember Tasco, Councilmember Reynolds Brown, Councilmember Goode, Councilmember Greenlee, Councilmember Kenney, Councilmember Jones, Councilmember Rizzo, Councilmember Clarke, Council President Verna, Councilmember Blackwell, Councilmember Sanchez, Councilmember Miller, Councilmember O'Neill, Councilmember Green",CITY COUNCIL,,0,10950,2/3/2011,1/27/2011,Resolution
ADOPTED,Honoring Thomas E. Knudsen for his achievements in service to the City of Philadelphia and its citizens as President and Chief Executive Officer of the Philadelphia Gas Works.,http://legislation.phila.gov/detailreport/?key=10951,"Councilmember Tasco, Councilmember Jones, Councilmember Blackwell, Councilmember Goode, Councilmember Kenney, Councilmember Rizzo, Councilmember Clarke, Council President Verna, Councilmember Reynolds Brown, Councilmember Greenlee, Councilmember Sanchez, Councilmember Miller, Councilmember O'Neill, Councilmember Green",CITY COUNCIL,,0,10951,2/3/2011,1/27/2011,Resolution
ADOPTED,"Declaring February 17th, 2011, as PGW Day in the City of Philadelphia to commemorate the 175th Anniversary of the founding of the Philadelphia Gas Works.",http://legislation.phila.gov/detailreport/?key=10952,"Councilmember Tasco, Councilmember Jones, Councilmember Goode, Councilmember Kenney, Councilmember Rizzo, Councilmember Clarke, Council President Verna, Councilmember Blackwell, Councilmember Reynolds Brown, Councilmember Greenlee, Councilmember Sanchez, Councilmember Miller, Councilmember O'Neill, Councilmember Green",CITY COUNCIL,,0,10952,2/3/2011,1/27/2011,Resolution
ADOPTED,"Proclaiming January 2011, as ""Poverty in America Awareness Month.""",http://legislation.phila.gov/detailreport/?key=10953,"Councilmember Miller, Councilmember Blackwell, Councilmember Clarke, Councilmember Jones, Councilmember Goode, Councilmember Rizzo, Council President Verna, Councilmember Kenney, Councilmember DiCicco, Councilmember Tasco, Councilmember Reynolds Brown, Councilmember Greenlee, Councilmember Sanchez, Councilmember O'Neill, Councilmember Green",CITY COUNCIL,,0,10953,2/3/2011,1/27/2011,Resolution
ADOPTED,"Proclaiming January 2011, as ""National Mentoring Month.""",http://legislation.phila.gov/detailreport/?key=10954,"Councilmember Miller, Councilmember Reynolds Brown, Councilmember Goode, Councilmember Clarke, Councilmember Jones, Councilmember Rizzo, Council President Verna, Councilmember Blackwell, Councilmember Kenney, Councilmember DiCicco, Councilmember Tasco, Councilmember Greenlee, Councilmember Sanchez, Councilmember O'Neill, Councilmember Green",CITY COUNCIL,,0,10954,2/3/2011,1/27/2011,Resolution
IN COMMITTEE,"Authorizing the Council Committee on Education to conduct hearings to examine the Philadelphia School District's discipline policy and the recent report ""Zero Tolerance in Philadelphia"" by the Advancement Project and Youth United for Change, which documents the negative and disproportionate effect of zero tolerance discipline policies on poor and minority students.",http://legislation.phila.gov/detailreport/?key=10955,"Councilmember Sanchez, Councilmember Reynolds Brown, Councilmember Green",Committee on Education,,0,10955,,1/27/2011,Resolution
IN COMMITTEE,Authorizing the Committee on Labor and Civil Service to hold hearings investigating ways that targeting medical resources can help the City of Philadelphia improve the quality and reduce the cost of providing health care services to its employees and citizens.,http://legislation.phila.gov/detailreport/?key=10956,"Councilmember Green, Councilmember Jones, Councilmember Goode, Councilmember Rizzo, Councilmember Tasco, Councilmember DiCicco, Councilmember Clarke, Council President Verna, Councilmember Blackwell, Councilmember Reynolds Brown, Councilmember Greenlee, Councilmember Miller, Councilmember Sanchez, Councilmember O'Neill",Committee on Labor and Civil Service,,0,10956,2/3/2011,1/27/2011,Resolution
IN COMMITTEE,Authorizing the Committee on Commerce and Economic Development to hold hearings regarding a strategic assessment of the City's workforce agencies.,http://legislation.phila.gov/detailreport/?key=10957,Councilmember Goode,Committee on Commerce & Economic Development,,0,10957,,1/27/2011,Resolution
ADOPTED,Honoring the African American Children's Book Project on the occasion of the 19th Annual African American Children's Book Fair.,http://legislation.phila.gov/detailreport/?key=10958,"Councilmember Reynolds Brown, Councilmember Green, Councilmember Goode, Councilmember Rizzo, Councilmember DiCicco, Council President Verna, Councilmember Clarke, Councilmember Kenney, Councilmember Miller, Councilmember Sanchez, Councilmember Greenlee, Councilmember Blackwell, Councilmember O'Neill, Councilmember Tasco",CITY COUNCIL,,0,10958,2/3/2011,1/27/2011,Resolution
IN COMMITTEE,"Authorizing the Joint Committees on Law and Government and Public Safety to hold hearings to support the creation of a robust, active Family Justice Center in the City of Philadelphia.",http://legislation.phila.gov/detailreport/?key=10959,"Councilmember Reynolds Brown, Councilmember Jones, Councilmember Miller, Councilmember Greenlee, Councilmember Goode, Councilmember Rizzo, Councilmember DiCicco, Council President Verna, Councilmember Clarke, Councilmember Kenney, Councilmember Sanchez, Councilmember Blackwell, Councilmember O'Neill, Councilmember Green, Councilmember Tasco",Committee on Law & Government and Public Safety,,0,10959,,1/27/2011,Resolution
ADOPTED,"Authorizing the Commissioner of Public Property to execute and deliver to the Redevelopment Authority of the City of Philadelphia, without consideration, deeds conveying conditional fee simple title to certain City-owned lots or pieces of ground with the buildings and improvements thereon, situate in the Thirty-first Ward of the City of Philadelphia, pursuant to Chapter 16-400 of The Philadelphia Code and authorizing the Redevelopment Authority of the City of Philadelphia to dispose of such properties for rehabilitation and/or improvement in accordance with the terms of Chapter 16-400 of The Philadelphia Code.",http://legislation.phila.gov/detailreport/?key=10960,Councilmember DiCicco,CITY COUNCIL,,0,10960,2/3/2011,1/27/2011,Resolution
ADOPTED,Celebrating Philadelphia's Asian Community at the start of the Lunar New Year.,http://legislation.phila.gov/detailreport/?key=10961,"Councilmember DiCicco, Councilmember Kenney",CITY COUNCIL,,0,10961,2/3/2011,1/27/2011,Resolution
IN COMMITTEE,Appointing Christopher Laufer to the Board of Directors for the Old City Special Services District.,http://legislation.phila.gov/detailreport/?key=10962,Councilmember DiCicco,Committee of the Whole,,0,10962,,1/27/2011,Resolution
IN COMMITTEE,Appointing Avram Hornick to the Board of Directors for the Old City Special Services District.,http://legislation.phila.gov/detailreport/?key=10963,Councilmember DiCicco,Committee of the Whole,,0,10963,,1/27/2011,Resolution
IN COMMITTEE,Reappointing Christopher P. McGill to the Board of Directors for the Old City Special Services District.,http://legislation.phila.gov/detailreport/?key=10964,Councilmember DiCicco,Committee of the Whole,,0,10964,,1/27/2011,Resolution
IN COMMITTEE,Reappointing Carolyn Pfeiffer to the Board of Directors for the Old City Special Services District.,http://legislation.phila.gov/detailreport/?key=10965,Councilmember DiCicco,Committee of the Whole,,0,10965,,1/27/2011,Resolution
IN COMMITTEE,Appointing Lynn Martin Haskin to the Board of Directors for the Old City Special Services District.,http://legislation.phila.gov/detailreport/?key=10966,Councilmember DiCicco,Committee of the Whole,,0,10966,,1/27/2011,Resolution
ADOPTED,Honoring Bernard Brunwasser on His Retirement.,http://legislation.phila.gov/detailreport/?key=10967,"Councilmember O'Neill, Council President Verna, Councilmember DiCicco, Councilmember Rizzo, Councilmember Jones, Councilmember Blackwell, Councilmember Clarke, Councilmember Kenney, Councilmember Goode, Councilmember Tasco",CITY COUNCIL,,0,10967,2/3/2011,1/27/2011,Resolution
ADOPTED,"Recognizing, Honoring, Celebrating, and Thanking Tom Muldoon on the Occasion of his Retirement as president of the Philadelphia Convention and Visitors Bureau.",http://legislation.phila.gov/detailreport/?key=10968,"Councilmember Rizzo, Councilmember O'Neill, Councilmember Goode, Councilmember Jones, Councilmember Kenney, Councilmember Tasco, Councilmember DiCicco, Councilmember Clarke, Council President Verna, Councilmember Blackwell, Councilmember Reynolds Brown, Councilmember Miller, Councilmember Sanchez, Councilmember Greenlee, Councilmember Green",CITY COUNCIL,,0,10968,2/3/2011,1/27/2011,Resolution
PLACED ON FILE,"Transmitting a message advising Council that Bill Nos. 090588-A, 100489-A, 100751, 100776, 100777, 100778, 100779, 100781, 100785, 100786, 100788, 100789, 100791, 100792, 100793, 100842 and 100843, which were passed by Council on December 16, 2010, were signed by the Mayor on December 21, 2010.",http://legislation.phila.gov/detailreport/?key=10969,,CITY COUNCIL,,0,10969,,1/27/2011,COMMUNICATION
PLACED ON FILE,"Transmitting a message advising Council that Bill No. 100614, which was passed by Council on December 9, was signed by the Mayor on December 22, 2010.",http://legislation.phila.gov/detailreport/?key=10970,,CITY COUNCIL,,0,10970,,1/27/2011,COMMUNICATION
PLACED ON FILE,"Transmitting a message advising Council that Bill Nos. 100550, 100557, 100656, 100724, 100756, 100784, 100787 and 100794, which were passed by Council on December 16, 2010, were signed by the Mayor on January 5, 2011.",http://legislation.phila.gov/detailreport/?key=10971,,CITY COUNCIL,,0,10971,,1/27/2011,COMMUNICATION
PLACED ON FILE,"Transmitting a message advising Council that Bill Nos. 100464, 100544, 100675, 100676, 100679, 100680, 100681, 100682, 100683, 100684, 100709, 100711, 100716, 100717, 100718, 100719, 100721, 100723, 100752, 100757, 100758 and 100760, which were passed by Council on December 9, 2010, were signed by the Mayor on January 5, 2011.",http://legislation.phila.gov/detailreport/?key=10972,,CITY COUNCIL,,0,10972,,1/27/2011,COMMUNICATION
PLACED ON FILE,"Transmitting a message advising Council that Bill Nos.100749 and 100753, which were passed by Council on December 16, 2010, were signed by the Mayor on January 26, 2011.",http://legislation.phila.gov/detailreport/?key=10973,,CITY COUNCIL,,0,10973,,1/27/2011,COMMUNICATION
